"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000959488886147264","0.000698232167894007","0.000720702919318894","0.000760651086559827","0.000906166596082593","0.00131405293432615","0.00152577280324417","0.00153973985727839","0.00195640008459108","0.00109429704736333","0.00156960653691674","0.00192689765446378","0.00149030629815309","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0","0","0","0","0.000250285782281516","0.10317201672259","0.102532617244129","0.0640731223561449","0.169502025354082","0.859644506792032","0.423757281346428","0.194052304468482","0.578376240092625","0.827603466935526","1.18195439093167","0.417797780532617","0.898081970581234","0.766951964643579","1.29002884152559","1.54030003158639","0.792463058079659","1.21882853945127","1.19955781814161","1.04663032818796","1.15774572258388","1.47381491205578","1.34620155201125","0.716432630692181","1.26399815745746","2.89962305027403","2.37548972190918","2.82701526595747","2.17582598144535","2.88445330057191","4.55631625142759","5.31993195815684","6.39835632946889","10.0651001232478","4.55033986880867","5.68702841008172","6.80356207908787","5.364101687479","4.92234854609911","3.85857467802922","1.56589637282387","1.38714733201506","2.06466103132431","2.74012368390486","2.22344188562045","1.12648373021249","2.04098814995964","","","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0265662947026768","0.0453108139131106","0.0557663770385733","0.07633415678642","0.427935476827928","0.520410843483266","0.646363012764153","0.687944963914268","0.644109079334453","1.29349953039045","1.35005887806414","1.35474939888996","","","","","","","","","","","","","","","","","","","","","0.030789275783499","0.0256328025661278","0.0256051597697051","0.0258476198749782","0.0214070372585048","0.0144464639818204","0.015736313879498","0.00524173800288766","0.00514945564866915","0.00660239543706919","0.109823883946021","0.0672901618424767","0.0407438655716957","0.0136357996041316","0.00944508042929387","0.0134270806666745","0.018854416706035","0.0127772897517024","0.00517761905886768","0.0178695056581909","","","",
"Africa Western and Central","AFW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0.314670524623791","1.04681756362066","1.66789848333829","18.8289491533774","12.7225058017758","11.9156210706978","14.0916067767543","10.8360654654434","27.4197166097511","16.6061935603272","3.84489492768576","1.58543802078768","4.39748321133115","6.95728288741432","8.06822647686633","2.85528234914016","5.59927403848821","4.7447643691865","11.0736929403677","12.8442996484421","8.32253749001789","9.37222960963348","14.536161379034","12.7155593444621","12.3043780847694","13.0490141302415","11.8061793490454","5.78244260354325","6.30737260301022","15.0352421889692","9.87600461984623","7.94477257558532","7.94486600418254","9.96886832388867","14.6309697667269","13.4287610759186","12.4541637460239","13.9626431310058","7.52133718738863","10.7046877433686","13.7145836640806","12.0643632906055","9.00085284955946","6.64730892091649","2.67385647725276","2.44326424111429","4.61053318423402","6.55992717066355","5.71150500032819","2.9165636121941","5.26753401055865","","","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.5416106844043","10.426247111977","4.09463309036246","11.21929927694","14.0994665560488","14.1586246957292","6.31853106919339","15.1707819484774","14.4045947596654","21.882605469383","28.0268256543238","16.8761491015161","27.0256548842449","34.5185265508012","40.5755094827092","41.0188156720936","39.0741439653244","37.3490232506807","21.7476800076135","38.5242698405316","57.5134839616206","42.5915766791073","31.7610292464785","27.1162657537214","32.9626955078503","42.2206783158613","40.2786520912475","45.3976036521592","52.1013581243545","29.7782995191992","37.7085091832735","38.6184358197859","34.3328389540912","29.0014846107501","21.736607448329","12.7187303090272","19.7483988340046","24.7110060055382","30.7304027285905","27.504828641196","18.5719595053837","28.2744398825844","","","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","5.79911357215572","5.35720713662887","1.94987076169298","3.1040802885248","2.37853926219519","3.34558789124586","4.8458773941323","3.61748146583453","4.67814330470611","2.64923826281687","1.52228488071084","1.15951602844704","1.16070259405485","1.08835644606329","0.233494630433512","0.494725403679998","1.07150056484779","0.699922137592021","0.687177627386246","0.692722774590139","0.793153163005221","1.02095374629243","1.19244921679704","1.24943402811758","1.60465469310703","0.923660115710382","1.30954317181467","2.4548890851063","2.86635104305394","3.03392407525612","3.12207615711342","1.45260618469079","0.884410718287188","1.12614227560188","1.46983381887842","1.42437109584124","0.582225701330423","1.04218369204761","","","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.7006148326008","12.702422440512","15.3773821759998","20.2143034563973","46.5776759825553","37.6758227055991","38.1653771217766","36.1822534116533","32.8668683160371","57.5628255264416","50.4121420715922","38.5526282209446","25.5453916924831","24.508722567389","24.2339694847793","21.2281439299756","13.3853726067658","16.8375250023476","16.0508229421872","22.190959662632","22.4948377277873","17.7861212479585","19.657157217772","19.2900306907276","18.6340249947491","18.2498117048216","21.2485749466987","18.6516818397114","12.6764642241078","16.8086304788752","26.2703768080753","21.1365879619748","20.4839545147666","23.0700130272088","27.6068430211652","33.0559419108083","33.6434307340639","31.2644532125525","35.088773960711","22.3466073262564","25.892652894835","32.6815328753042","32.3005177632214","29.7698424774053","26.5535091514941","15.5334260888351","13.1842181236965","16.703631797847","21.1519841221845","18.5653523370443","11.4799296381804","17.3134783237318","","","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","37.4179603088941","36.8782876103444","30.8690345782272","31.4520067178137","56.0299307985901","41.9017222889892","33.037027439471","22.8797386280149","23.6932140726226","25.7520260229299","23.7113309073601","17.0122917735774","22.8978256173288","20.3567774890166","28.6130173334727","35.3156119922356","23.5124336664395","23.314265622308","20.8005002641545","16.966789757447","16.3473463917171","19.1112827067212","16.9646090621951","10.8323014620584","13.3744382605246","20.8440561536495","15.8062390008792","14.6453240587361","17.8057010079321","20.9182068452778","23.9417369873026","25.8820272214672","23.7183455650517","26.67204274176","18.418263242659","22.6797378677807","28.5990789001782","27.0648520266069","26.2480640478396","22.9458647037024","13.1025344354216","11.0807563620506","13.4985731745503","17.0989945007163","15.681591549088","10.4940977026696","15.6730945329946","","","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.183779149216649","0.312886775004762","0.359047343543258","0.412805282018559","1.65885773770647","2.11889964582298","2.35967093826561","1.93385257138462","2.19019719332059","5.02863549439409","5.84241226408529","4.79626652315171","2.64858284193801","2.93199669852781","3.68570761843442","3.00657445804799","0.97146283280127","1.54851052425753","1.07039410413757","2.73924507290797","2.18272104761879","0.893993392718008","0.911490169536768","0.90189290799156","0.882210245002207","1.11368338221007","1.42093287722449","1.27158678591403","0.67625546126761","1.18222911614852","2.03921231896402","1.57828961704899","4.58801102253871","3.79526357487009","3.62815045579444","4.36083044381745","4.49089064691066","3.70577772027876","4.03900096602208","2.12453488071178","2.30522041977185","2.74533146547491","2.55649872416885","2.25387298647688","2.09270565105548","0.693912054976671","0.549552011638029","0.663565866238942","1.31095340723836","1.29099565501431","0.677055565819106","1.54438228879011","","","",
